id,countryId,languageId,name,description
15,5,3,Irlanda,"Irlanda es conocida por sus exuberantes paisajes verdes, sus espectaculares costas y sus ciudades históricas. El país cuenta con una fuerte tradición de música, literatura y narración y también es famoso por su ambiente acogedor y su animada cultura de pubs."
16,6,1,Storbritannien,"Storbritannien består af England, Skotland, Wales og Nordirland og har en lang og betydningsfuld historie. Landet byder på alt fra storbyer og historiske slotte til grønne landskaber, dramatiske kyster og bjergrige områder."
17,6,2,United Kingdom,"The United Kingdom consists of England, Scotland, Wales and Northern Ireland and has a long and influential history. The country offers everything from major cities and historic castles to green countryside, dramatic coastlines and mountainous regions."
18,6,3,Reino Unido,"El Reino Unido está formado por Inglaterra, Escocia, Gales e Irlanda del Norte y cuenta con una larga e influyente historia. El país ofrece desde grandes ciudades y castillos históricos hasta verdes paisajes, costas espectaculares y regiones montañosas."
19,7,1,Italien,"Italien er kendt for sin rige historie, kunst, arkitektur og gastronomi. Landet byder på berømte byer som Rom, Firenze og Venedig samt vinområder, bjerge, søer og lange kyststrækninger med nogle af Europas mest populære rejsemål."
20,7,2,Italy,"Italy is known for its rich history, art, architecture and gastronomy. The country is home to famous cities such as Rome, Florence and Venice, as well as wine regions, mountains, lakes and long coastlines with some of Europe's most popular destinations."
21,7,3,Italia,"Italia es conocida por su rica historia, arte, arquitectura y gastronomía. El país cuenta con famosas ciudades como Roma, Florencia y Venecia, además de regiones vinícolas, montañas, lagos y extensas costas con algunos de los destinos más populares de Europa."
22,8,1,Island,"Island er en nordatlantisk ø kendt for sin rå og dramatiske natur. Vulkaner, gletsjere, gejsere, vandfald og varme kilder præger landskabet, og landet er desuden et populært sted at opleve både nordlys og den lyse midnatssol."
23,8,2,Iceland,"Iceland is a North Atlantic island known for its wild and dramatic nature. Volcanoes, glaciers, geysers, waterfalls and hot springs shape the landscape, and the country is also a popular destination for experiencing both the northern lights and the midnight sun."
24,8,3,Islandia,"Islandia es una isla del Atlántico Norte conocida por su naturaleza salvaje y espectacular. Volcanes, glaciares, géiseres, cascadas y aguas termales caracterizan el paisaje, y el país también es un destino popular para observar la aurora boreal y el sol de medianoche."
25,9,1,Liechtenstein,"Liechtenstein er et af Europas mindste lande og ligger mellem Schweiz og Østrig midt i Alperne. Landet er kendt for sine imponerende bjerglandskaber, vandreruter, små landsbyer og hovedstaden Vaduz med det karakteristiske Vaduz Slot."
26,9,2,Liechtenstein,"Liechtenstein is one of Europe's smallest countries and is located between Switzerland and Austria in the Alps. The country is known for its impressive mountain scenery, hiking trails, small villages and the capital Vaduz with its distinctive Vaduz Castle."
27,9,3,Liechtenstein,"Liechtenstein es uno de los países más pequeños de Europa y está situado entre Suiza y Austria, en los Alpes. El país es conocido por sus impresionantes paisajes montañosos, rutas de senderismo, pequeños pueblos y la capital Vaduz con su característico castillo."
