id,cityId,languageId,name,description
13,5,1,Dublin,"Dublin er Irlands hovedstad og en livlig by med en lang historie og stærke kulturelle traditioner. Byen er kendt for sin litteratur, musik og pubkultur samt seværdigheder som Trinity College, Dublin Castle og de hyggelige gader omkring Temple Bar."
14,5,2,Dublin,"Dublin is the capital of Ireland and a lively city with a long history and strong cultural traditions. The city is known for its literature, music and pub culture, as well as attractions such as Trinity College, Dublin Castle and the lively streets around Temple Bar."
15,5,3,Dublín,"Dublín es la capital de Irlanda y una ciudad animada con una larga historia y fuertes tradiciones culturales. Es conocida por su literatura, música y cultura de pubs, además de lugares como Trinity College, el Castillo de Dublín y las animadas calles de Temple Bar."
16,6,1,Banbridge,"Banbridge er en by i County Down i Nordirland og ligger sydvest for Belfast. Byen voksede historisk omkring tekstilindustrien og floden Bann og fungerer i dag som et lokalt handelscentrum omgivet af det grønne nordirske landskab."
17,6,2,Banbridge,"Banbridge is a town in County Down, Northern Ireland, located southwest of Belfast. The town historically developed around the textile industry and the River Bann and today serves as a local commercial centre surrounded by the green Northern Irish countryside."
18,6,3,Banbridge,"Banbridge es una localidad del condado de Down en Irlanda del Norte, situada al suroeste de Belfast. Históricamente creció alrededor de la industria textil y el río Bann y actualmente funciona como un centro comercial local rodeado del verde paisaje norirlandés."
19,7,1,Las Palmas de Gran Canaria,"Las Palmas de Gran Canaria er Gran Canarias største by og ligger ud til Atlanterhavet på øens nordøstlige kyst. Byen er kendt for den historiske bydel Vegueta, et livligt byliv og den lange Las Canteras-strand, der strækker sig langs en stor del af centrum."
20,7,2,Las Palmas de Gran Canaria,"Las Palmas de Gran Canaria is the largest city on Gran Canaria and is located on the Atlantic coast in the northeast of the island. The city is known for the historic Vegueta district, its lively urban atmosphere and the long Las Canteras beach stretching along the city."
21,7,3,Las Palmas de Gran Canaria,"Las Palmas de Gran Canaria es la ciudad más grande de Gran Canaria y está situada junto al Atlántico en el noreste de la isla. Es conocida por el histórico barrio de Vegueta, su animado ambiente urbano y la extensa playa de Las Canteras."
22,8,1,Sirmione,"Sirmione ligger på en smal halvø i den sydlige del af Gardasøen og er en af områdets mest populære historiske byer. Byen er kendt for sin gamle bydel, Scaliger-borgen, romerske ruiner og den smukke udsigt over Gardasøens blå vand og omkringliggende bjerge."
23,8,2,Sirmione,"Sirmione is located on a narrow peninsula at the southern end of Lake Garda and is one of the area's most popular historic towns. It is known for its old town, Scaliger Castle, Roman ruins and beautiful views across the blue waters of Lake Garda and the surrounding mountains."
24,8,3,Sirmione,"Sirmione está situada en una estrecha península al sur del lago de Garda y es una de las localidades históricas más populares de la zona. Es conocida por su casco antiguo, el castillo Scaligero, las ruinas romanas y las hermosas vistas del lago y las montañas."
25,9,1,Firenze,"Firenze er hovedbyen i Toscana og betragtes som et af de vigtigste centre for den europæiske renæssance. Byen er berømt for sin kunst og arkitektur med seværdigheder som domkirken Santa Maria del Fiore, Ponte Vecchio og kunstmuseet Uffizi."
26,9,2,Florence,"Florence is the capital of Tuscany and is considered one of the most important centres of the European Renaissance. The city is famous for its art and architecture, with landmarks such as the Cathedral of Santa Maria del Fiore, Ponte Vecchio and the Uffizi Gallery."
27,9,3,Florencia,"Florencia es la capital de la Toscana y está considerada uno de los centros más importantes del Renacimiento europeo. La ciudad es famosa por su arte y arquitectura, con lugares emblemáticos como la catedral de Santa Maria del Fiore, el Ponte Vecchio y la Galería Uffizi."
28,10,1,Bláskógabyggð,"Bláskógabyggð er en kommune i det sydlige Island og ligger i et område præget af vulkansk aktivitet og store åbne landskaber. Kommunen rummer flere af Islands mest kendte naturoplevelser, blandt andet gejserområdet Geysir og det imponerende Gullfoss-vandfald."
29,10,2,Bláskógabyggð,"Bláskógabyggð is a municipality in southern Iceland located in an area shaped by volcanic activity and vast open landscapes. The municipality contains some of Iceland's best-known natural attractions, including the Geysir geothermal area and the impressive Gullfoss waterfall."
30,10,3,Bláskógabyggð,"Bláskógabyggð es un municipio del sur de Islandia situado en una región marcada por la actividad volcánica y grandes paisajes abiertos. Alberga algunas de las atracciones naturales más conocidas del país, como la zona geotérmica de Geysir y la impresionante cascada Gullfoss."
31,11,1,Vaduz,"Vaduz er hovedstaden i Liechtenstein og ligger i Rhindalen omgivet af imponerende alpelandskaber. Byen er kendt for Vaduz Slot, der ligger højt over centrum, samt sine museer, kunstsamlinger og den kompakte bymidte."
32,11,2,Vaduz,"Vaduz is the capital of Liechtenstein and is located in the Rhine Valley surrounded by impressive Alpine scenery. The city is known for Vaduz Castle overlooking the centre, as well as its museums, art collections and compact city centre."
33,11,3,Vaduz,"Vaduz es la capital de Liechtenstein y está situada en el valle del Rin, rodeada de impresionantes paisajes alpinos. La ciudad es conocida por el castillo de Vaduz, que domina el centro desde lo alto, así como por sus museos, colecciones de arte y su compacto centro urbano."
